step,tof,accX,accY,accZ,acc,incl,orient,roll,pitch,gyroX,gyroY,gyroZ,mic0,mic1,mic2,mic3,
0,35,-219,-106,737,776.1224365234375,18.26738739013672,64.16876220703125,-16.389878279187194,-7.849784967781517,-29,-138,141,3,2,2,2,
1,31,-218,-105,734,772.8551025390625,18.243104934692383,64.27872467041016,-16.383846658535994,-7.808345462227658,-59,-129,126,5,2,2,2,
2,31,-222,-106,734,774.1292114257812,18.52703094482422,64.47317504882812,-16.664908748674716,-7.870124477613664,-26,-120,121,3,2,2,2,
3,31,-222,-104,738,777.6528930664062,18.373634338378906,64.8949966430664,-16.587208679638646,-7.685521465933661,-36,-103,141,2,2,2,3,
4,31,-220,-105,739,778.1683349609375,18.253952026367188,64.48272705078125,-16.42232152867294,-7.754701659785889,-48,-131,187,4,3,2,2,
5,31,-220,-107,739,778.4407348632812,18.314632415771484,64.05997467041016,-16.416412515863712,-7.900562115189219,-47,-169,140,3,1,2,2,
6,34,-206,-260,727,799.1026000976562,24.5244083404541,38.38587951660156,-14.938919538157828,-18.987688005378214,-187,-221,6233,19,8,7,6,
7,34,-225,-69,708,746.0897827148438,18.384918212890625,72.94781494140625,-17.55206206668295,-5.306420356799217,60,301,456,16,9,12,5,
8,34,-207,-75,727,759.6071166992188,16.84650230407715,70.08035278320312,-15.813638855902663,-5.666345176813501,-31,-194,-996,9,6,6,7,
9,34,-246,-62,742,784.1708984375,18.873666763305664,75.85113525390625,-18.282781865007035,-4.534789331670072,-49,-144,-904,6,5,6,6,
10,34,-213,-145,765,807.2291870117188,18.61264991760254,55.75120544433594,-15.299555974404807,-10.348022711928538,-124,-74,-71,12,6,6,6,
11,34,-220,-229,807,867.231201171875,21.477630615234375,43.84766387939453,-14.695436473231544,-15.311031516966409,-340,269,-97,14,12,8,8,
12,34,-240,-92,735,778.6456298828125,19.27262306213379,69.02323150634766,-17.95244441109187,-6.785569624335358,-66,-29,-272,7,8,7,6,
13,34,-215,-63,732,765.5181274414062,17.015403747558594,73.66505432128906,-16.311272133953725,-4.720621278316494,-98,-207,777,8,7,6,6,
14,34,-213,-83,767,800.341796875,16.594228744506836,68.70728302001953,-15.434482420792182,-5.952601036940146,-145,-11,1163,10,5,6,7,
15,34,-227,-124,741,784.8477783203125,19.24041748046875,61.350677490234375,-16.81174721945109,-9.090388537851881,54,88,821,7,9,7,6,
16,38,-201,-126,768,803.8040771484375,17.16326141357422,57.91421127319336,-14.481118036725409,-9.01857242779094,-175,15,-481,7,11,9,9,
17,38,-193,-85,717,747.3707275390625,16.387826919555664,66.22725677490234,-14.965574945026292,-6.530496687319849,-131,-48,-843,6,5,5,6,
18,38,-234,-69,699,740.3499145507812,19.23763656616211,73.56755828857422,-18.425225161951346,-5.3476801386378385,141,-141,-740,8,6,5,4,
19,38,-205,-177,729,777.6856689453125,20.379077911376953,49.188331604003906,-15.28393830948507,-13.155719572411327,-31,-286,416,11,9,9,13,
20,38,-225,-75,715,753.3093872070312,18.348955154418945,71.56185150146484,-17.378462336069283,-5.713873608431418,-83,-154,1934,10,12,10,10,
21,30,-198,-151,762,801.6539306640625,18.094345092773438,52.6661491394043,-14.29943017872973,-10.857125218764468,-107,-99,273,6,6,7,5,
22,30,-212,-108,735,772.5496826171875,17.934986114501953,63.000709533691406,-15.9272152594046,-8.036090182915629,-35,-243,-358,8,8,5,7,
23,30,-222,-96,718,757.6437377929688,18.61467170715332,66.61143493652344,-17.038469194159575,-7.279437937955533,-63,-23,-461,7,6,6,5,
24,30,-204,-125,743,780.5703125,17.846771240234375,58.498741149902344,-15.150025630796929,-9.214983109293648,-111,-414,-614,10,7,10,8,
25,23,-214,-98,719,756.54541015625,18.124269485473633,65.39149475097656,-16.431253744486245,-7.442790301256192,-69,-216,-357,9,8,11,8,
26,23,-225,-70,750,786.1456909179688,17.439706802368164,72.71533203125,-16.630980534924657,-5.108497781414142,-176,-111,1015,9,11,10,8,
27,23,-211,-94,769,802.943359375,16.716997146606445,65.98377990722656,-15.23527027909949,-6.7229925198661675,-246,46,395,9,9,7,7,
28,23,-199,-142,787,824.0958862304688,17.254413604736328,54.48585891723633,-13.973716315809629,-9.922157470215076,124,28,1182,10,7,11,14,
29,23,-224,-118,743,784.9515991210938,18.814617156982422,62.2169075012207,-16.580841970151805,-8.64592014100121,-29,-376,564,10,8,12,10,
30,28,-232,-77,708,749.0106811523438,19.045669555664062,71.63597106933594,-18.043677571719883,-5.900560777178327,-38,-189,-567,8,6,8,7,
31,28,-228,-69,740,777.3963012695312,17.841663360595703,73.15937805175781,-17.054829262336703,-5.09214938610714,-181,82,-461,6,7,8,6,
32,28,-201,-135,790,826.2723388671875,17.037691116333008,56.10939025878906,-14.079099030161524,-9.403392946500349,-193,361,-400,8,7,9,9,
33,28,-240,-149,768,818.30615234375,20.192792892456055,58.16301345825195,-17.054951963738077,-10.491137603305344,-170,52,133,7,7,8,8,
34,28,-241,-115,721,768.86083984375,20.32071876525879,64.48712158203125,-18.267311611054126,-8.602120054403875,-66,96,362,8,9,7,8,
35,35,-225,-69,723,760.3387451171875,18.028364181518555,72.94781494140625,-17.212756967398782,-5.206699452340897,-44,-27,504,7,7,9,8,
36,35,-222,-120,710,753.514404296875,19.56477928161621,61.60348129272461,-17.134718726849727,-9.163583941417391,-145,-245,967,8,8,7,7,
37,35,-240,-138,768,816.3749389648438,19.821014404296875,60.09756088256836,-17.09653819619153,-9.732006229250947,-179,-31,-682,8,12,11,10,
38,35,-225,-126,762,804.4532470703125,18.694866180419922,60.74766159057617,-16.24188749444582,-9.011234302620679,-90,-95,-500,11,12,12,14,
39,35,-222,-51,701,737.079345703125,17.998918533325195,77.05890655517578,-17.529015005445164,-3.9675800218932697,78,78,-198,11,12,11,13,
40,36,-240,-111,672,722.1530151367188,21.477157592773438,65.17607879638672,-19.410837196612118,-8.84181612970887,195,22,-263,11,13,10,9,
41,36,-238,-129,684,735.6228637695312,21.590543746948242,61.5380744934082,-18.876863106301315,-10.099701463045463,-46,-559,1244,9,9,13,13,
42,36,-213,-100,677,716.727294921875,19.163923263549805,64.84732055664062,-17.288555828956564,-8.020250034613685,-14,-415,713,9,14,13,13,
43,36,-231,-88,751,790.636474609375,18.21702003479004,69.14227294921875,-16.987896388809787,-6.390418007462442,-51,-226,465,7,9,10,9,
44,36,-241,-90,780,821.3287963867188,18.25128173828125,69.5188980102539,-17.063233980602124,-6.291020059284686,-249,185,-327,8,8,11,7,
45,36,-217,-105,694,734.6768188476562,19.153139114379883,64.17559051513672,-17.17960418289761,-8.216848842095299,-57,-314,-242,7,7,7,6,
46,36,-204,-87,726,759.1185913085938,16.98459815979004,66.89984130859375,-15.588870416056718,-6.580935014812633,-126,-2,-479,5,6,6,7,
47,36,-227,-66,704,742.631103515625,18.55971336364746,73.7851333618164,-17.798472504174317,-5.098786030415161,-57,-184,549,8,9,8,7,
48,36,-236,-110,779,821.3629150390625,18.479825973510742,65.00630187988281,-16.69801414893315,-7.696390280305443,-119,-35,1066,10,7,11,11,
49,36,-226,-139,767,811.5947265625,19.07968521118164,58.40306091308594,-16.168559130713305,-9.861536701230827,61,104,268,8,9,11,9,
50,43,-206,-102,741,775.835693359375,17.232542037963867,63.654457092285156,-15.397862040021097,-7.554612057379183,-104,-29,378,5,5,7,9,
51,43,-230,-145,675,727.7018432617188,21.93767738342285,57.767642974853516,-18.425028464135668,-11.493538700257721,-24,-433,165,12,8,11,13,
52,43,-240,-100,711,757.0475463867188,20.084503173828125,67.37681579589844,-18.482865085024176,-7.590503445704306,62,117,-803,10,9,11,8,
53,43,-226,-92,736,775.3941040039062,18.33993911743164,67.84645080566406,-16.945665312177802,-6.814158760376705,-24,225,65,7,9,9,12,
54,43,-208,-154,824,863.6874389648438,17.43450927734375,53.4805908203125,-13.935406556343857,-10.271060577346956,-105,-137,-451,10,9,11,9,
55,45,-236,-144,724,774.989013671875,20.897592544555664,58.606143951416016,-17.729314679265105,-10.708307240713609,-61,-299,-147,7,7,9,9,
56,45,-268,-111,712,768.8231201171875,22.164588928222656,67.49836730957031,-20.400775131034933,-8.301175951786945,208,115,744,9,6,9,9,
57,45,-246,-146,729,783.1174926757812,21.423246383666992,59.30748748779297,-18.308247008729047,-10.744769635069693,550,424,-351,12,9,13,11,
58,45,-212,-82,714,749.3090209960938,17.65703773498535,68.85063171386719,-16.434994963743343,-6.282698207517296,-124,-118,194,6,8,9,8,
59,45,-209,-84,723,757.275390625,17.302143096923828,68.10081481933594,-16.02098638107882,-6.368581770300833,-177,-174,724,5,5,6,6,
60,43,-206,-52,737,767.0130615234375,16.078990936279297,75.82987213134766,-15.57944779755273,-3.887375361786041,-54,241,-314,12,8,8,8,
61,43,-222,-82,709,747.4550170898438,18.456602096557617,69.72406005859375,-17.277975409610406,-6.298344911529095,-8,-55,72,9,8,8,8,
62,43,-220,-174,717,769.912353515625,21.363555908203125,51.65541458129883,-16.603494713040238,-13.06167441904082,-36,-435,748,11,8,10,9,
63,43,-187,-86,698,727.7149047851562,16.427661895751953,65.29924011230469,-14.89027482346833,-6.786969875669001,-254,6,307,9,7,10,8,
64,43,-216,-129,766,806.2586669921875,18.180395126342773,59.14984130859375,-15.539586853437946,-9.206796661924962,-221,-366,252,8,7,8,10,
65,45,-205,-76,762,792.7452392578125,16.007156372070312,69.65541076660156,-14.986714270698934,-5.501360473881049,-364,100,352,9,7,12,9,
66,45,-201,-182,801,845.6512451171875,18.699907302856445,47.83612060546875,-13.750044166825129,-12.428361177800113,-400,-406,-497,10,8,10,9,
67,45,-222,-119,815,853.0357666015625,17.172073364257812,61.8036003112793,-15.084719012717427,-8.019017011634466,-293,14,-1198,8,8,10,12,
68,45,-220,-126,780,820.1682739257812,18.003835678100586,60.19552230834961,-15.559422850880487,-8.83717602811924,-120,-95,531,5,6,8,10,
69,45,-246,-104,771,815.9491577148438,19.10439682006836,67.07977294921875,-17.54708067914164,-7.322777846571243,17,-258,291,8,8,10,10,
70,45,-236,-103,737,780.6881713867188,19.25661849975586,66.4182357788086,-17.595642644254987,-7.581416082314269,-113,270,768,11,6,8,11,
71,45,-227,-193,807,860.2482299804688,20.26283836364746,49.624290466308594,-15.300254002188943,-12.964885130806081,91,165,-266,12,8,9,8,
72,45,-232,-73,696,737.2713012695312,19.2596378326416,72.53038024902344,-18.34112514279454,-5.682380797290492,-94,91,-574,8,13,8,8,
73,45,-242,-91,718,763.1310424804688,19.801328659057617,69.3888168334961,-18.488517740789668,-6.848564513503041,44,-82,174,5,7,9,10,
74,49,-257,-158,717,777.8829956054688,22.81734275817871,58.41379928588867,-19.292076167915415,-11.719196923602848,228,-259,27,7,5,10,13,
75,49,-214,-99,714,751.9262084960938,18.273082733154297,65.1705551147461,-16.53508365864169,-7.565635321538244,-15,-114,555,7,7,7,9,
76,49,-209,-84,691,726.7860717773438,18.05255126953125,68.10081481933594,-16.712377187566442,-6.636926135467784,-35,-478,-251,10,8,8,8,
77,49,-236,-69,693,735.3271484375,19.532873153686523,73.69937133789062,-18.72011961511675,-5.384315932635751,2,98,-194,14,8,7,8,
78,49,-254,-92,675,727.05224609375,21.81023597717285,70.08612823486328,-20.447924204817006,-7.269602686710725,216,111,459,11,7,8,10,
79,51,-239,-124,702,751.864990234375,20.982316970825195,62.57497024536133,-18.534535486970938,-9.49277425504789,277,-230,-617,7,9,9,10,
80,51,-213,-84,684,721.3050537109375,18.505563735961914,68.47411346435547,-17.175412288609383,-6.687587798922639,10,-132,946,7,8,10,10,
81,51,-213,-64,737,769.8272705078125,16.790281295776367,73.27293395996094,-16.06248118970329,-4.768819332755525,-168,-109,77,13,7,7,8,
82,51,-214,-96,749,784.8649291992188,17.385597229003906,65.83572387695312,-15.822516805531519,-7.0256710183723765,-78,-8,114,6,5,5,5,
83,51,-222,-150,753,799.2452392578125,19.584020614624023,55.95040512084961,-16.126681837515143,-10.81725084576698,-110,-7,388,7,6,5,5,
84,58,-226,-216,792,851.4669799804688,21.53830337524414,46.292110443115234,-15.39216459230631,-14.695373232601767,-73,-101,-453,11,6,8,7,
85,58,-226,-87,726,765.3240966796875,18.444717407226562,68.94222259521484,-17.17551102027937,-6.5273412093475995,-195,-133,720,9,7,9,10,
86,58,-180,-64,736,760.389404296875,14.548601150512695,70.42364501953125,-13.693081258749194,-4.828149090238046,-489,-130,253,9,7,10,13,
87,58,-209,-109,759,794.7597045898438,17.2506160736084,62.453102111816406,-15.246517012265056,-7.882868192710284,-256,25,426,8,4,5,8,
88,58,-213,-187,808,856.2721557617188,19.328351974487305,48.71512222290039,-14.403714984715243,-12.614400074717791,-144,78,-656,9,8,12,11,
89,54,-240,-119,778,822.8274536132812,18.997610092163086,63.62281799316406,-16.958393923521495,-8.315464529179309,-214,-454,-432,11,9,11,10,
90,54,-218,-101,700,740.08447265625,18.941608428955078,65.13818359375,-17.13121350359823,-7.843684169098205,-153,-109,671,11,10,13,11,
91,54,-250,-135,723,776.822998046875,21.45159912109375,61.627471923828125,-18.773245951961748,-10.00794629089655,62,-136,-814,8,10,10,8,
92,54,-224,-162,779,826.5960083007812,19.53603744506836,54.12129592895508,-15.723239486065863,-11.302240367388968,-60,-598,135,10,11,7,8,
93,54,-240,-124,727,775.5675048828125,20.382144927978516,62.67265701293945,-18.02613674934494,-9.200100396630596,79,83,-37,7,8,9,11,
94,59,-217,-85,736,772.016845703125,17.568201065063477,68.60618591308594,-16.324789581567174,-6.321150798997346,-213,21,-399,7,9,11,11,
95,59,-212,-150,783,824.9442138671875,18.347166061401367,54.715087890625,-14.891360110277281,-10.476397764221339,-190,279,1025,6,8,10,10,
96,59,-240,-99,717,762.554931640625,19.902637481689453,67.58053588867188,-18.34460129906995,-7.459578975834618,213,-48,351,8,8,10,10,
97,59,-202,-135,705,745.6903076171875,19.01300621032715,56.240875244140625,-15.717230611237397,-10.430360759669428,63,-608,-117,6,6,8,8,
98,59,-233,-85,740,780.4575805664062,18.5271053314209,69.95443725585938,-17.37010250204832,-6.252512798264773,126,-85,-132,10,7,7,9,
99,66,-220,-100,728,767.0619506835938,18.36156463623047,65.55267333984375,-16.666990995383905,-7.490833329001268,-21,249,-773,14,9,8,7,
100,66,-211,-173,779,825.403564453125,19.30141258239746,50.647674560546875,-14.811069135040647,-12.098587008799942,33,-485,181,7,10,7,9,
101,66,-220,-103,713,753.2449951171875,18.81177520751953,64.90846252441406,-16.981903833493217,-7.8593461092748145,-29,-346,1091,8,10,11,12,
102,66,-259,-94,750,799.010009765625,20.169952392578125,70.04918670654297,-18.914154515404583,-6.7562419719497075,242,-481,-134,10,7,9,10,
103,66,-237,-82,746,787.025390625,18.579126358032227,70.9115982055664,-17.52571807828065,-5.980488002305954,153,-54,861,8,11,7,9,
104,70,-236,-151,747,797.813232421875,20.557233810424805,57.3840217590332,-17.206029096291246,-10.910030548965256,-94,-300,237,6,7,7,8,
105,70,-237,-135,752,799.9362182617188,19.93379020690918,60.329750061035156,-17.2339243361326,-9.715931148185307,-132,-137,-877,5,10,6,6,
106,70,-243,-113,738,785.1509399414062,19.955333709716797,65.05720520019531,-18.02877719996413,-8.274823176962693,80,-243,-664,10,9,7,11,
107,70,-239,-87,690,735.38427734375,20.23243522644043,69.9944076538086,-18.96558468374627,-6.794318107161518,117,72,642,10,8,8,8,
108,75,-252,-143,711,767.7720947265625,22.16985511779785,60.423274993896484,-19.160917726285568,-10.73420463781088,355,-261,136,8,9,10,10,
109,75,-195,-122,763,796.9177856445312,16.774181365966797,57.96460723876953,-14.163676120076467,-8.806028519790386,-180,-142,107,7,7,9,11,
110,75,-204,-123,770,806.0055541992188,17.18815803527832,58.90892028808594,-14.661029386465977,-8.777885755936898,-167,11,1347,9,11,14,9,
111,75,-195,-114,732,766.05810546875,17.146867752075195,59.685237884521484,-14.746915432316692,-8.558189612099559,-222,-162,-705,11,9,8,7,
112,75,-237,-109,721,766.740478515625,19.888484954833984,65.29817962646484,-18.005040787817784,-8.172868308027263,-154,-173,114,6,13,9,9,
113,77,-233,-117,709,755.4197387695312,20.188310623168945,63.33323669433594,-17.965109780970764,-8.909881933257084,7,-132,-1375,9,9,8,8,
114,77,-173,-102,711,738.8193359375,15.770797729492188,59.47304153442383,-13.54195856605562,-7.93549297774168,14,-531,-1111,10,9,9,7,
115,77,-219,-68,732,767.0782470703125,17.392107009887695,72.74714660644531,-16.588673407236517,-5.0858360224720265,-145,-154,1759,7,9,11,11,
116,77,-227,-142,761,806.73046875,19.38218116760254,57.96833419799805,-16.342746727844172,-10.137971353307906,123,40,414,12,10,10,10,
117,77,-221,-189,806,856.8535766601562,19.8367862701416,49.45896530151367,-14.946701090133814,-12.74277545534132,-6,-327,942,17,14,15,12,
118,77,-246,-152,765,817.8294677734375,20.704627990722656,58.28506088256836,-17.50543180859239,-10.711149440901597,15,157,192,16,15,14,17,
119,77,-248,-75,704,750.163330078125,20.20303726196289,73.17051696777344,-19.304874010269188,-5.737916827343804,160,7,-531,9,13,13,12,
120,77,-226,-104,727,768.3885498046875,18.888965606689453,65.28581237792969,-17.10489736926776,-7.778754304992367,94,-80,-848,11,17,14,12,
121,77,-235,-162,703,758.7344970703125,22.095827102661133,55.415435791015625,-18.042735177701715,-12.328328137267446,164,-597,-754,11,12,13,10,
122,77,-205,-101,713,748.7289428710938,17.769512176513672,63.76789855957031,-15.890357297805442,-7.7525646617789405,147,-151,40,11,14,15,14,
123,82,-222,-71,772,806.4173583984375,16.797616958618164,72.26151275634766,-15.979397364462297,-5.0510746524555055,-50,-304,1128,10,11,17,18,
124,82,-234,-147,757,805.8622436523438,20.05250358581543,57.85914611816406,-16.880240361952254,-10.510359641730057,135,-224,1097,12,11,13,15,
125,82,-206,-161,770,813.1771240234375,18.752700805664062,51.98670196533203,-14.674495330248787,-11.41937708184272,27,16,-187,6,9,8,9,
126,82,-216,-76,734,768.8875122070312,17.323808670043945,70.61225891113281,-16.31544083999254,-5.672612980074287,-44,-152,-727,8,9,12,10,
127,82,-223,-77,696,734.8972778320312,18.722742080688477,70.94742584228516,-17.66456196438506,-6.014292748956628,-45,-127,-147,10,11,8,10,
128,83,-227,-123,701,747.033447265625,20.216964721679688,61.54545211791992,-17.69010802793975,-9.47697594065315,43,-256,-690,10,11,10,9,
129,83,-204,-130,714,753.8646850585938,18.714107513427734,57.48885726928711,-15.700305801557793,-9.92999163765004,16,-349,461,10,11,7,9,
130,83,-216,-86,735,770.8936157226562,17.550756454467773,68.28681945800781,-16.27180123985624,-6.405183672913268,-14,-116,549,8,10,11,11,
131,83,-215,-93,734,770.473876953125,17.698060989379883,66.60536193847656,-16.203456914555847,-6.932788142821445,-68,-150,778,9,8,9,8,
132,83,-233,-135,792,836.52734375,18.77621078491211,59.90849304199219,-16.172635463549902,-9.287089888786719,-67,115,1053,9,7,10,12,
133,88,-210,-145,770,811.1873779296875,18.334291458129883,55.37217330932617,-15.003601470833424,-10.296977400100552,16,-21,-844,8,8,8,8,
