step,tof,accX,accY,accZ,acc,incl,orient,roll,pitch,gyroX,gyroY,gyroZ,mic0,mic1,mic2,mic3,
0,26,-23,-8,768,768.385986328125,1.813515543937683,0.0,-1.7152835231788965,-0.5965420179043828,-545,-1992,127,7,8,8,8,
1,26,-20,-6,766,766.2845458984375,1.5588444471359253,0.0,-1.4955876934098233,-0.44862994209371865,-611,-1966,90,4,6,5,5,
2,26,-20,-6,766,766.2845458984375,1.5588444471359253,0.0,-1.4955876934098233,-0.44862994209371865,-528,-1955,115,8,8,10,9,
3,28,-22,-7,768,768.346923828125,1.7192424535751343,0.0,-1.640768518900755,-0.5219985802847563,-580,-1980,96,15,14,15,14,
4,28,-18,-3,763,763.2182006835938,1.3674362897872925,0.0,-1.3514086548144635,-0.22521447240080208,-611,-2008,133,10,12,14,12,
5,28,19,-3,772,772.2396240234375,1.424688696861267,0.0,1.4098340363400417,-0.22258347132172746,-494,-2497,-275,10,9,9,10,
6,28,40,27,420,422.7635192871094,6.552310943603516,235.9822998046875,5.429192283389244,3.6617151746481156,-1470,-1437,352,45,22,11,13,
7,28,-53,-3,814,815.7291259765625,3.7287023067474365,0.0,-3.725276961004954,-0.21071667229018531,-626,-2391,-1182,87,70,51,58,
8,24,-6,23,775,775.3644409179688,1.7541457414627075,0.0,-0.44337616559933696,1.6998410220176963,-482,-1796,381,16,11,13,19,
9,24,-40,30,746,747.6737060546875,3.831923246383667,0.0,-3.0667466056896835,2.2995791932625513,-660,-1052,852,11,10,12,11,
10,24,-42,-18,774,775.34765625,3.3760902881622314,0.0,-3.1051891586176614,-1.3302634948198568,-477,-1872,-822,12,14,9,12,
11,24,-30,-87,727,732.8014526367188,7.211962699890137,19.02086067199707,-2.346275141855507,-6.818378357205071,-739,-2344,658,14,11,12,12,
12,24,-18,21,742,742.5153198242188,2.132166862487793,0.0,-1.3890960142728301,1.62066936640324,-514,-1799,940,17,14,12,13,
13,25,-36,-18,771,772.0498657226562,2.985781192779541,0.0,-2.672620433431192,-1.3359467156873228,-507,-2077,47,10,9,10,10,
14,25,-30,23,758,758.9420166015625,2.852452039718628,0.0,-2.26541852802593,1.736634262543508,-470,-1974,-889,11,12,10,10,
15,25,-12,-9,760,760.1480102539062,1.1280653476715088,0.0,-0.9045316227916388,-0.6783863878608554,-633,-2067,-920,11,9,9,13,
16,25,-10,-18,770,770.2752685546875,1.5292209386825562,0.0,-0.7438560072896733,-1.3390250871426677,-532,-2095,-675,10,9,9,11,
17,34,-10,41,732,733.2155151367188,3.297055959701538,0.0,-0.7814558516505573,3.205541671624616,-529,-2224,507,11,14,13,15,
18,34,-18,27,750,750.70166015625,2.474868059158325,0.0,-1.3739450939140798,2.061164672949706,-644,-2029,959,11,7,10,11,
19,34,-26,-17,777,777.6207275390625,2.2868752479553223,0.0,-1.9160599872569668,-1.2526747506281797,-409,-1903,840,8,7,9,11,
20,34,-20,-48,813,814.6612548828125,3.6571404933929443,0.0,-1.4067573346834068,-3.3778347355274176,-476,-1532,-203,11,11,10,8,
21,34,-12,23,744,744.4521484375,1.9944183826446533,0.0,-0.9236042023595905,1.7704464507046436,-581,-2067,-866,11,10,7,8,
22,31,-20,21,757,757.5552978515625,2.191283941268921,0.0,-1.5128252436378922,1.5884854300418205,-611,-2152,-576,8,8,11,8,
23,31,-14,29,785,785.6602172851562,2.3464977741241455,0.0,-1.0210308953906588,2.115361167268123,-687,-1783,-312,9,11,11,13,
24,31,-20,-30,786,786.8265380859375,2.623859405517578,0.0,-1.4565332615115882,-2.1850942234193433,-668,-1787,779,12,10,8,12,
25,31,-35,-51,822,824.323974609375,4.300808906555176,0.0,-2.4334550343706574,-3.5470910327002905,-562,-2081,1307,9,10,10,10,
26,31,-21,3,752,752.2991333007812,1.6132211685180664,0.0,-1.5995866757201878,0.22848330454121651,-542,-1986,30,7,6,8,6,
27,30,-12,40,717,718.2151489257812,3.3308322429656982,0.0,-0.9573473195255497,3.192661187112389,-501,-1604,39,12,9,8,10,
28,30,-15,-12,753,753.2449951171875,1.4587109088897705,0.0,-1.141054409600226,-0.912821802868063,-552,-2006,-79,10,10,12,13,
29,30,-45,-52,789,791.9911499023438,4.978691101074219,0.0,-3.257232549756298,-3.7645941878934384,-578,-2092,-177,12,11,10,9,
30,30,-39,-4,733,734.0476684570312,3.0589895248413086,0.0,-3.045562390718231,-0.312219843212883,-567,-2135,-616,7,9,6,5,
31,30,-36,6,744,744.8946533203125,2.8057937622070312,0.0,-2.7701258594433518,0.46151278817907215,-460,-1877,-344,9,6,6,7,
32,26,-20,-4,724,724.2872314453125,1.6110695600509644,0.0,-1.5823297854849958,-0.3164273395109463,-565,-1779,1356,10,9,9,7,
33,26,-11,-6,768,768.1022338867188,0.9320740699768066,0.0,-0.8205615273080298,-0.4475682666757174,-569,-2015,674,6,7,8,7,
34,26,-18,-5,742,742.2351684570312,1.4396336078643799,0.0,-1.389620478375954,-0.3859707654111454,-512,-2157,-183,12,15,12,12,
35,26,-13,28,783,783.6083374023438,2.2551958560943604,0.0,-0.9505760532591294,2.0477365642444054,-589,-1848,145,10,14,13,14,
36,26,-29,1,801,801.525390625,2.0721073150634766,0.0,-2.0734717773323115,0.0714834400739953,-777,-1728,-289,10,9,6,11,
37,33,-4,-11,765,765.0895385742188,0.873940646648407,0.0,-0.2995520798181136,-0.8237928493812013,-467,-2156,-776,10,12,12,18,
38,33,-8,4,761,761.0525512695312,0.6707501411437988,0.0,-0.6022904351231206,0.301141057922472,-515,-2078,-141,10,14,13,14,
39,33,-21,25,736,736.7238159179688,2.5374481678009033,0.0,-1.6334131180406835,1.9446493772096263,-512,-2124,1020,12,15,17,14,
40,33,-33,15,778,778.843994140625,2.66506028175354,0.0,-2.428377028645332,1.1035455307303936,-492,-1919,1236,11,15,16,14,
41,33,-36,-78,824,828.466064453125,5.949446678161621,24.770559310913086,-2.4905036667641864,-5.402393646590486,-394,-1865,43,5,9,8,9,
42,36,-34,-39,788,789.69677734375,3.754077434539795,0.0,-2.467603909473123,-2.8307633961434786,-436,-2132,-152,11,18,12,11,
43,36,-30,16,738,738.7827758789062,2.635197877883911,0.0,-2.3272688096541647,1.2409657781475327,-633,-2068,-461,10,17,10,14,
44,36,-23,29,747,747.9164428710938,2.83408522605896,0.0,-1.7622432855384027,2.222165674353702,-535,-1975,-353,9,7,7,8,
45,36,-19,-15,801,801.36572265625,1.7284361124038696,0.0,-1.3585830002843666,-1.0725276572073075,-664,-1736,459,10,11,8,7,
46,36,-36,-78,829,833.4392700195312,5.913798809051514,24.770559310913086,-2.475633322977479,-5.370062061289236,-428,-1612,-12,11,9,7,9,
47,36,0,-45,784,785.2904052734375,3.2825002670288086,0.0,0.0,-3.2850564102140125,-636,-1786,739,9,11,8,11,
48,36,0,-11,802,802.075439453125,0.783171534538269,0.0,0.0,-0.7858030646533039,-679,-2085,-254,8,8,11,9,
49,36,-18,-3,710,710.2344970703125,1.469666838645935,0.0,-1.4522450166916185,-0.24201564038215728,-590,-1920,452,12,8,10,8,
50,36,-15,-84,765,769.744140625,6.362043380737305,10.119658470153809,-1.1165932694908713,-6.265003447641431,-529,-2377,-911,10,6,10,7,
51,36,-13,37,734,735.0469360351562,3.0558202266693115,0.0,-1.0133828626582622,2.8853125032411002,-530,-2057,623,11,12,11,13,
52,42,-21,67,777,780.166015625,5.1610283851623535,162.59678649902344,-1.5424367396026821,4.9265817929029385,-431,-2176,352,9,9,6,10,
53,42,-11,-8,781,781.118408203125,0.9951049089431763,0.0,-0.8068871305980805,-0.5868178662043341,-467,-1808,290,10,13,13,10,
54,42,-7,-117,825,833.2844848632812,8.083581924438477,3.4186630249023438,-0.4813184340003707,-8.071469657514198,-636,-1769,-180,15,11,11,7,
55,42,-51,14,681,683.050537109375,4.438168048858643,0.0,-4.281977077822117,1.1744330387321784,-389,-2226,207,9,7,9,9,
56,44,-11,39,792,793.0359497070312,2.9263365268707275,0.0,-0.794760685550226,2.8188345221933027,-492,-2157,425,10,8,8,6,
57,44,-17,15,783,783.3281860351562,1.6559178829193115,0.0,-1.2435461687661782,1.097227539641344,-598,-1895,989,7,9,8,6,
58,44,-22,-24,795,795.6663818359375,2.342536211013794,0.0,-1.5844175855005305,-1.7284974372784032,-593,-1768,-227,7,9,9,7,
