step,tof,accX,accY,accZ,acc,incl,orient,roll,pitch,gyroX,gyroY,gyroZ,mic0,mic1,mic2,mic3,
0,26,-227,-105,732,773.5489501953125,18.86204719543457,65.1734848022461,-17.064775173207757,-7.80129780681065,-41,-117,129,3,3,2,2,
1,27,-223,-105,727,767.647705078125,18.726696014404297,64.78311157226562,-16.88776329364163,-7.861647690688375,-31,-131,127,3,2,3,3,
2,27,-223,-105,735,775.2283325195312,18.53683853149414,64.78311157226562,-16.7177465199238,-7.784292861608219,-37,-115,127,4,2,2,2,
3,27,-226,-108,739,780.2954711914062,18.721675872802734,64.4545669555664,-16.836038170633472,-7.9557987680255255,3,-104,124,4,3,3,3,
4,27,-225,-106,739,779.7319946289062,18.599124908447266,64.77095031738281,-16.771805822286943,-7.813218694404037,-31,-154,119,4,4,4,4,
5,28,-226,-103,738,778.6713256835938,18.597909927368164,65.49539184570312,-16.87220511685545,-7.601168742997604,-58,-150,110,5,3,3,3,
6,28,-193,-132,717,754.1630859375,18.059667587280273,55.62663269042969,-14.827680054666043,-10.080313679505593,-8,3428,-1991,10,7,8,7,
7,28,-216,-30,616,653.4615478515625,19.492656707763672,82.08995056152344,-19.302002219587038,-2.631337308418668,-418,527,659,303,120,113,97,
8,28,-206,-105,758,792.4802856445312,16.961376190185547,62.98822021484375,-15.066702278546739,-7.613816405272254,-216,78,1284,40,24,23,26,
9,28,-208,-90,786,818.0220336914062,16.082277297973633,66.59889221191406,-14.730445422371664,-6.316554388934063,-179,579,-284,16,9,13,9,
10,25,-256,-88,694,744.9268188476562,21.306821823120117,71.02638244628906,-20.099890985010326,-6.784330642357531,-15,43,-1128,31,32,11,12,
11,25,-176,-69,726,750.2086181640625,14.592855453491211,68.58927917480469,-13.568128101255768,-5.277203905005175,-341,-402,-357,20,10,14,12,
12,25,-217,-101,699,738.8443603515625,18.900257110595703,65.03755950927734,-17.079714365299846,-7.856932192551215,-185,11,92,9,7,8,7,
13,25,-222,-188,759,812.840087890625,20.968751907348633,49.736663818359375,-15.849798439067287,-13.37290217064555,-168,41,1455,10,6,8,5,
14,25,-252,-205,824,885.7228393554688,21.51422691345215,50.86810302734375,-16.529762693968006,-13.382417244692368,-92,-191,135,11,6,8,8,
15,28,-228,-69,702,741.3157348632812,18.741689682006836,73.15937805175781,-17.912322191676044,-5.340692783366576,-127,-73,216,10,6,9,9,
16,28,-225,-117,738,780.3576049804688,18.962379455566406,62.52210235595703,-16.757962854288582,-8.622943014815357,-106,9,351,9,6,8,7,
17,28,-224,-121,691,736.4088745117188,20.22374153137207,61.61954879760742,-17.70876852487803,-9.457205476225385,164,-173,-653,8,7,7,7,
18,28,-228,-166,728,780.7201538085938,21.174415588378906,53.93903350830078,-16.98001064041604,-12.276181272898326,23,-279,-764,9,10,9,9,
19,28,-222,-70,737,772.8861694335938,17.526098251342773,72.4959716796875,-16.692495329500062,-5.196377387383243,-118,-511,75,10,9,9,11,
20,32,-230,-200,789,845.8256225585938,21.11978530883789,48.98704147338867,-15.778767834988356,-13.677426496068659,-16,91,226,9,7,10,7,
