step,gs0,gs1,gs2,
0,931,931,935,
1,931,931,935,
2,931,931,934,
3,931,931,934,
4,931,931,935,
5,931,931,935,
6,931,931,935,
7,931,931,935,
8,931,931,934,
9,931,931,934,
10,931,931,934,
11,931,931,934,
12,932,931,935,
13,932,931,935,
14,931,931,934,
15,931,931,934,
16,931,931,934,
17,931,931,934,
18,931,931,934,
19,931,931,934,
20,931,931,934,
21,931,931,934,
22,931,931,934,
23,931,931,934,
24,931,931,933,
25,931,931,933,
26,931,931,934,
27,931,931,934,
28,925,922,924,
29,925,922,924,
30,906,813,843,
31,906,813,843,
32,859,766,819,
33,859,766,819,
34,893,789,866,
35,893,789,866,
36,920,908,923,
37,920,908,923,
38,932,927,934,
39,932,927,934,
40,934,928,936,
41,934,928,936,
42,932,926,934,
43,932,926,934,
44,935,929,932,
45,935,929,932,
46,933,930,902,
47,933,930,902,
48,934,932,813,
49,934,932,813,
50,935,933,809,
51,935,933,809,
52,936,934,812,
53,936,934,812,
54,936,936,846,
55,936,936,846,
56,936,933,815,
57,936,913,836,
58,936,913,836,
59,936,795,830,
60,936,795,830,
61,937,776,834,
62,937,776,834,
63,939,763,821,
64,939,763,821,
65,942,776,839,
66,942,776,839,
67,940,797,911,
68,940,797,911,
69,935,795,929,
70,935,795,929,
71,925,784,934,
72,925,784,934,
73,921,782,936,
74,921,782,936,
75,925,781,936,
76,925,781,936,
77,922,789,937,
78,922,789,937,
79,922,823,936,
80,922,823,936,
81,919,922,936,
82,919,922,936,
83,905,927,935,
84,905,927,935,
85,916,931,935,
86,916,931,935,
87,916,930,935,
88,916,930,935,
89,916,930,936,
90,916,930,936,
91,927,931,935,
92,927,931,935,
93,933,930,934,
94,934,930,935,
95,934,930,935,
96,935,931,934,
97,935,931,934,
98,935,930,935,
99,935,930,935,
100,933,930,936,
101,933,930,936,
102,933,931,936,
103,933,931,936,
104,935,930,934,
105,935,930,934,
106,934,930,935,
107,934,930,935,
108,936,931,934,
109,936,931,934,
110,934,930,935,
111,934,930,935,
112,934,930,935,
113,934,930,935,
114,936,931,936,
115,936,931,936,
116,934,930,936,
117,934,930,936,
118,934,930,934,
119,934,930,934,
