step,gs0,gs1,gs2,
0,941,935,940,
1,940,935,940,
2,940,934,940,
3,940,934,940,
4,940,934,940,
5,940,934,940,
6,940,934,938,
7,940,934,938,
8,924,921,925,
9,924,921,925,
10,918,830,876,
11,918,830,876,
12,912,779,833,
13,912,779,833,
14,921,888,893,
15,921,888,893,
16,931,925,931,
17,931,925,931,
18,941,938,939,
19,941,938,939,
20,944,937,941,
21,944,937,941,
22,942,936,939,
23,942,936,939,
24,942,937,941,
25,942,937,941,
26,931,925,937,
27,931,925,937,
28,926,774,857,
29,926,774,857,
30,929,759,840,
31,929,759,840,
32,926,769,831,
33,926,769,831,
34,927,755,822,
35,927,755,822,
36,926,766,825,
37,926,766,825,
38,929,775,837,
39,929,775,837,
40,926,767,832,
41,926,767,832,
42,923,766,830,
43,923,766,830,
44,935,800,836,
45,935,800,836,
46,938,927,928,
47,938,927,928,
48,939,933,938,
49,939,933,938,
50,938,935,939,
51,938,935,939,
52,939,935,939,
53,939,935,939,
54,939,934,939,
55,939,934,939,
56,938,934,939,
57,940,935,939,
58,940,935,939,
59,939,934,941,
60,939,934,941,
61,939,935,939,
62,939,935,939,
63,939,934,939,
64,939,934,939,
65,939,935,941,
66,939,935,941,
67,939,936,941,
68,939,936,941,
69,939,936,939,
70,939,936,939,
71,940,935,941,
72,940,935,941,
73,939,936,939,
74,939,936,939,
75,940,935,939,
76,940,935,939,
77,940,936,941,
78,940,936,941,
79,940,936,939,
80,940,936,939,
81,940,936,942,
82,940,936,942,
83,941,936,941,
84,941,936,941,
85,939,936,941,
86,939,936,941,
87,941,936,940,
88,941,936,940,
89,940,936,941,
90,940,936,941,
91,940,936,942,
92,940,936,942,
93,940,936,942,
94,940,936,942,
95,939,936,942,
96,939,936,940,
97,939,936,940,
98,939,936,942,
99,939,936,942,
100,939,934,942,
101,939,934,942,
102,937,935,940,
103,937,935,940,
104,939,935,942,
105,939,935,942,
106,939,935,940,
107,939,935,940,
108,939,936,939,
109,939,936,939,
110,939,936,941,
111,939,936,941,
112,938,935,941,
113,938,935,941,
114,937,934,939,
115,937,934,939,
116,939,935,941,
117,939,935,941,
118,941,938,941,
119,941,938,941,
120,943,937,942,
121,943,937,942,
122,944,938,943,
123,944,938,943,
124,936,926,939,
125,936,926,939,
126,931,813,907,
127,931,813,907,
128,928,804,864,
129,928,804,864,
130,928,774,863,
131,928,774,863,
132,928,787,869,
133,928,787,869,
134,927,787,872,
135,928,794,872,
136,928,794,872,
137,928,781,850,
138,928,781,850,
139,926,792,870,
140,926,792,870,
141,930,805,867,
142,930,805,867,
143,936,922,926,
144,936,922,926,
145,937,937,937,
146,937,937,937,
147,940,935,938,
148,940,935,938,
149,939,935,939,
150,939,935,939,
151,939,935,941,
152,939,935,941,
153,939,935,938,
154,939,935,938,
155,939,936,939,
156,939,936,939,
157,938,935,939,
158,938,935,939,
159,939,935,938,
160,939,935,938,
161,940,935,939,
162,940,935,939,
163,938,935,939,
164,938,935,939,
165,940,934,938,
166,940,934,938,
167,940,935,938,
168,940,935,938,
169,939,936,940,
170,939,936,940,
171,940,935,937,
172,940,935,937,
173,940,935,938,
174,940,935,938,
175,941,936,938,
176,941,936,938,
177,941,936,938,
178,940,936,938,
179,940,936,938,
180,941,936,937,
181,941,936,937,
182,941,935,938,
183,941,935,938,
184,941,936,938,
185,941,936,938,
186,940,936,938,
187,940,936,938,
188,940,936,938,
189,940,936,938,
