step,gs0,gs1,gs2,
0,940,937,943,
1,941,937,943,
2,941,938,943,
3,941,938,943,
4,940,937,943,
5,940,937,943,
6,940,937,943,
7,940,937,943,
8,941,936,943,
9,941,936,943,
10,940,937,943,
11,940,937,943,
12,942,937,943,
13,942,937,943,
14,940,937,943,
15,940,937,943,
16,941,938,943,
17,941,938,943,
18,931,925,929,
19,931,925,929,
20,924,911,921,
21,924,911,921,
22,917,873,906,
23,917,873,906,
24,919,905,918,
25,919,905,918,
26,930,928,933,
27,930,928,933,
28,940,938,943,
29,940,938,943,
30,940,938,943,
31,940,938,943,
32,939,937,942,
33,939,937,942,
34,941,938,943,
35,941,938,943,
36,942,938,943,
37,942,938,943,
38,939,939,943,
39,939,939,943,
40,941,937,943,
41,941,937,943,
42,941,939,942,
43,941,939,942,
44,942,938,943,
45,942,938,943,
46,942,939,943,
47,942,939,943,
48,941,937,942,
49,941,937,942,
50,942,937,942,
51,942,937,942,
52,941,938,942,
53,941,938,942,
54,941,938,942,
55,941,938,942,
56,942,937,942,
57,942,937,942,
58,942,938,942,
59,942,938,942,
60,941,940,942,
61,941,940,942,
62,940,937,942,
63,940,937,942,
64,941,937,942,
65,941,937,942,
66,942,940,942,
67,942,940,942,
68,941,939,942,
69,942,940,942,
70,942,940,942,
71,944,940,943,
72,944,940,943,
73,948,940,945,
74,948,940,945,
75,941,935,942,
76,941,935,942,
77,646,557,648,
78,646,557,648,
79,515,401,480,
80,515,401,480,
81,514,399,457,
82,514,399,457,
83,514,389,443,
84,514,389,443,
85,500,395,445,
86,500,395,445,
87,491,385,435,
88,491,385,435,
89,481,392,444,
90,481,392,444,
91,508,387,441,
92,508,387,441,
93,515,383,447,
94,515,383,447,
95,501,383,432,
96,501,383,432,
97,515,384,420,
98,515,384,420,
99,547,413,452,
100,547,413,452,
101,604,441,510,
102,604,441,510,
103,603,458,506,
104,603,458,506,
105,596,454,513,
106,612,461,520,
107,612,461,520,
108,584,459,510,
109,584,459,510,
110,601,450,527,
111,601,450,527,
112,606,446,522,
113,606,446,522,
114,596,471,518,
115,596,471,518,
116,597,450,521,
117,597,450,521,
118,601,453,524,
119,601,453,524,
120,577,456,510,
121,577,456,510,
122,598,458,521,
123,598,458,521,
124,586,453,513,
125,586,453,513,
126,592,449,516,
127,592,449,516,
128,577,462,498,
129,577,462,498,
130,581,448,512,
131,581,448,512,
132,591,465,526,
133,591,465,526,
134,585,455,510,
135,585,455,510,
136,590,476,501,
137,590,476,501,
138,578,472,511,
139,578,472,511,
140,577,453,510,
141,577,453,510,
142,584,461,513,
143,584,461,513,
144,584,470,518,
145,584,470,518,
146,574,478,521,
147,574,478,521,
148,590,461,521,
149,590,461,521,
150,610,433,518,
151,610,433,518,
152,591,478,500,
153,591,478,500,
154,578,451,499,
155,578,451,499,
156,541,411,482,
157,541,411,482,
158,524,396,459,
159,528,406,450,
160,528,406,450,
161,530,395,435,
162,530,395,435,
163,514,408,444,
164,514,408,444,
165,552,400,447,
166,552,400,447,
167,600,422,469,
168,600,422,469,
169,641,479,535,
170,641,479,535,
171,640,484,541,
172,640,484,541,
173,639,483,553,
174,639,483,553,
175,651,490,535,
176,651,490,535,
177,657,481,540,
178,657,481,540,
179,647,490,548,
180,647,490,548,
181,629,482,539,
182,629,482,539,
183,648,478,542,
184,651,494,534,
185,651,494,534,
186,642,500,548,
187,642,500,548,
188,660,488,547,
189,660,488,547,
190,654,482,516,
191,654,482,516,
192,646,494,527,
193,646,494,527,
194,642,488,534,
195,642,488,534,
196,666,491,528,
197,666,491,528,
198,636,500,533,
199,636,500,533,
200,651,477,532,
201,651,477,532,
202,626,488,521,
203,626,488,521,
204,651,497,533,
205,651,497,533,
206,660,490,540,
207,660,490,540,
208,673,489,529,
209,673,489,529,
210,650,508,543,
211,650,508,543,
212,651,482,550,
213,651,482,550,
214,656,488,542,
215,656,488,542,
216,660,506,533,
217,660,506,533,
218,659,503,533,
219,659,503,533,
220,638,491,546,
221,585,441,492,
222,585,441,492,
223,543,416,459,
224,543,416,459,
225,535,390,432,
226,535,390,432,
227,532,408,441,
228,532,408,441,
229,523,401,439,
230,523,401,439,
231,529,394,449,
232,529,394,449,
233,590,413,465,
234,590,413,465,
235,685,517,537,
236,685,517,537,
237,697,539,588,
238,697,539,588,
239,682,540,583,
240,682,540,583,
241,675,531,593,
242,675,531,593,
243,712,526,596,
244,712,526,596,
245,700,529,591,
246,700,529,591,
247,698,527,579,
248,698,527,579,
249,712,499,587,
250,712,499,587,
251,699,553,597,
252,699,553,597,
253,709,526,592,
254,709,526,592,
255,703,548,592,
256,703,548,592,
257,692,542,592,
258,692,542,592,
259,692,519,594,
260,692,519,594,
261,701,534,602,
262,701,534,602,
263,680,538,597,
264,680,538,597,
265,694,536,581,
266,694,536,581,
267,682,538,579,
268,704,527,573,
269,704,527,573,
270,705,526,593,
271,705,526,593,
272,711,532,582,
273,711,532,582,
274,698,526,589,
275,698,526,589,
276,692,541,592,
277,692,541,592,
278,696,536,592,
279,696,536,592,
280,690,537,602,
281,690,537,602,
282,699,547,590,
283,699,547,590,
284,707,534,600,
285,707,534,600,
286,681,538,597,
287,681,538,597,
288,673,537,591,
289,673,537,591,
290,573,434,515,
291,573,434,515,
292,508,399,469,
293,508,399,469,
294,518,375,442,
295,518,375,442,
296,503,383,435,
