step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0.0525,4.2017754285714295,2.6891362745546282e-11,3.44676890625,7.698544334848321,-7.698544334848321,7.698544334848321
1,0.0062,9999999999,0.0525,4.180518285714286,5.3646679776793234e-11,-0.01743750000000008,4.213080785767933,-4.213080785767933,4.213080785767933
2,0.0062,9999999999,0.0525,4.186718285714286,8.044167680804417e-11,0.0050859375,4.241804223294727,-4.241804223294727,4.241804223294727
3,0.0062,9999999999,0.0525,4.220375428571429,1.0745207955360235e-10,0.027609375000000082,4.29798480367888,-4.29798480367888,4.29798480367888
4,0.0062,9999999999,0.0525,4.268204,1.34768585156334e-10,0.03923437499999975,4.357438375134768,-4.357438375134768,4.357438375134768
5,0.0062,9999999999,0.0525,4.342604000000001,1.6256125075911328e-10,0.061031249999999995,4.453635250162562,-4.453635250162562,4.453635250162562
6,0.0062,9999999999,0.0525,4.295661142857143,1.9005348207614822e-10,-0.03850781249999992,4.307153330547196,-4.307153330547196,4.307153330547196
7,0.0062,9999999999,0.0525,3.8032039999999996,2.1439398767858227e-10,-0.4039687500000007,3.4492352502143926,-3.4492352502143926,3.4492352502143926
8,0.0062,9999999999,0.0525,3.3033422857142853,2.3553537830926784e-10,-0.41004281249999985,2.943299473449821,-2.943299473449821,2.943299473449821
9,0.0062,9999999999,0.0525,3.1182279999999993,2.5549203751126345e-10,-0.15185156250000018,3.016376437755491,-3.016376437755491,3.016376437755491
10,0.0062,9999999999,0.0525,2.8675708571428573,2.73844490998813e-10,-0.20561718749999952,2.711953669916702,-2.711953669916702,2.711953669916702
11,0.0062,9999999999,0.0525,2.6213422857142854,2.906210816290621e-10,-0.20198437500000035,2.4693579110049058,-2.4693579110049058,2.4693579110049058
12,0.0062,9999999999,0.0525,2.4911422857142855,3.0656439225922783e-10,-0.1068046875,2.43433759852085,-2.43433759852085,2.43433759852085
13,0.0062,9999999999,0.0525,2.3857422857142856,3.2183314288932616e-10,-0.0864609375,2.3492813485361186,-2.3492813485361186,2.3492813485361186
14,0.0062,9999999999,0.0525,2.2617422857142855,3.3630829351934505e-10,-0.10171875,2.2100235360505938,-2.2100235360505938,2.2100235360505938
15,0.0062,9999999999,0.0525,2.1138279999999994,3.498367927206979e-10,-0.12133593750000017,2.0424920628498358,-2.0424920628498358,2.0424920628498358
16,0.0062,9999999999,0.0525,1.894170857142857,3.619594862076245e-10,-0.1801874999999998,1.763983357504817,-1.763983357504817,1.763983357504817
17,0.0062,9999999999,0.0525,1.5026851428571428,3.715766711228719e-10,-0.3211406249999998,1.23154451822872,0.7684554817712801,3.23154451822872
18,0.0062,9999999999,0.0525,1.2289994285714285,3.7944226746651553e-10,-0.22450781250000013,1.0544916164508706,0.9455083835491294,3.0544916164508704
19,0.0062,9999999999,0.0525,0.9535422857142856,3.8554493809569724e-10,-0.22596093750000004,0.7775813485998305,1.2224186514001696,2.7775813485998304
20,0.0062,9999999999,0.0525,0.765770857142857,3.9044587158190153e-10,-0.15403124999999995,0.661739607533303,1.338260392466697,2.661739607533303
21,0.0062,9999999999,0.0525,0.623170857142857,3.9443416506801466e-10,-0.11697656249999999,0.5561942950372912,1.4438057049627089,2.556194295037291
22,0.0062,9999999999,0.0525,0.45488514285714293,3.973454299825915e-10,-0.13804687499999982,0.36683826825448856,1.6331617317455114,2.3668382682544884
23,0.0062,9999999999,0.0525,0.34948514285714294,3.995821348971009e-10,-0.0864609375,0.31302420575672507,1.686975794243275,2.313024205756725
24,0.0062,9999999999,0.0525,0.26622799999999996,4.0128599409727124e-10,-0.06829687500000009,0.24793112540128587,1.752068874598714,2.2479311254012857
25,0.0062,9999999999,0.0525,0.16968514285714276,4.023719790116656e-10,-0.07919531250000006,0.14048983075951466,1.8595101692404854,2.1404898307595146
26,0.0062,9999999999,0.0525,0.023542285714285724,4.025226496402521e-10,-0.11988281249999991,-0.04634052638319153,2.0463405263831915,1.9536594736168085
27,0.0062,9999999999,0.0525,-0.04377200000000001,4.022425088402241e-10,-0.05521875000000001,-0.04899074959775751,2.0489907495977575,1.9510092504022425
28,0.0062,9999999999,0.0525,-0.1385434285714287,4.013558308972783e-10,-0.0777421875000001,-0.166285615670073,2.166285615670073,1.833714384329927
29,0.0062,9999999999,0.0525,-0.21471485714285724,3.9998165581142657e-10,-0.06248437499999995,-0.22719923174287554,2.2271992317428757,1.7728007682571245
30,0.0062,9999999999,0.0525,-0.3015148571428572,3.9805196072551927e-10,-0.07120312499999999,-0.3227179817448052,2.3227179817448054,1.6772820182551949
31,0.0062,9999999999,0.0525,-0.39185771428571425,3.9554407135383994e-10,-0.07410937499999991,-0.4159670888901701,2.41596708889017,1.58403291110983
32,0.0062,9999999999,0.0525,-0.4457445714285713,3.926913060964118e-10,-0.04420406249999994,-0.43994863353587993,2.43994863353588,1.56005136646412
33,0.0062,9999999999,0.0525,-0.48383028571428566,3.895947922675307e-10,-0.03124218750000005,-0.46507247282469094,2.465072472824691,1.5349275271753091
34,0.0062,9999999999,0.0525,-0.5263445714285714,3.86226187010051e-10,-0.034875000000000024,-0.5112195710423452,2.511219571042345,1.488780428957655
35,0.0062,9999999999,0.0525,-0.5414017142857143,3.8276121603827593e-10,-0.01235156250000001,-0.503753276402953,2.503753276402953,1.496246723597047
36,0.0062,9999999999,0.0525,-0.5600017142857143,3.7917720506648897e-10,-0.015257812499999999,-0.5252595264065371,2.525259526406537,1.4747404735934628
37,0.0062,9999999999,0.0525,-0.5759445714285714,3.754911598089775e-10,-0.013078124999999989,-0.5390226960530801,2.53902269605308,1.4609773039469198
38,0.0062,9999999999,0.0525,-0.5980874285714285,3.7166340026573765e-10,-0.018164062499999988,-0.5662514906997651,2.566251490699765,1.433748509300235
39,0.0062,9999999999,0.0525,-0.6344017142857142,3.6760322929390303e-10,-0.029789062500000022,-0.6141907764181109,2.614190776418111,1.385809223581889
40,0.0062,9999999999,0.0525,-0.6485731428571428,3.6345236117920225e-10,-0.011624999999999958,-0.6101981424936904,2.61019814249369,1.3898018575063096
41,0.0062,9999999999,0.0525,-0.627316,3.594375387788008e-10,0.017437500000000012,-0.5598784996405624,2.559878499640562,1.4401215003594376
42,0.0062,9999999999,0.0525,-0.6637719999999999,3.551893979783759e-10,-0.029905312499999975,-0.6436773121448104,2.6436773121448103,1.3563226878551897
43,0.0062,9999999999,0.0525,-0.6751445714285714,3.50868472720801e-10,-0.009329062500000065,-0.634473633577703,2.634473633577703,1.365526366422297
44,0.0062,9999999999,0.0525,-0.6814862857142856,3.4650696049179344e-10,-0.005202187499999956,-0.6366884728677786,2.6366884728677786,1.3633115271322214
45,0.0062,9999999999,0.0525,-0.6814862857142856,3.4214544826278593e-10,0.0,-0.6314862853721401,2.63148628537214,1.3685137146278599
46,0.0062,9999999999,0.0525,-0.694772,3.376989074623413e-10,-0.010898437499999978,-0.655670437162301,2.655670437162301,1.344329562837699
47,0.0062,9999999999,0.0525,-0.7133719999999999,3.3313332666188473e-10,-0.015257812499999999,-0.6786298121668666,2.6786298121668666,1.3213701878331334
48,0.0062,9999999999,0.0525,-0.7612005714285713,3.2826164300425467e-10,-0.039234375000000044,-0.7504349461003097,2.7504349461003095,1.2495650538996903
49,0.0062,9999999999,0.0525,-0.7275434285714285,3.2360536506093195e-10,0.027609375000000005,-0.649934053247823,2.649934053247823,1.350065946752177
50,0.0062,9999999999,0.0525,-0.7355148571428571,3.1889806997474694e-10,-0.00653906250000003,-0.6920539193239591,2.692053919323959,1.3079460806760408
51,0.0062,9999999999,0.0525,-0.7488005714285714,3.1410574631712484e-10,-0.010898437499999978,-0.7096990086144656,2.7096990086144657,1.2903009913855343
52,0.0062,9999999999,0.0525,-0.7806862857142857,3.091093540880538e-10,-0.026156249999999978,-0.7568425354051762,2.756842535405176,1.2431574645948238
53,0.0062,9999999999,0.0525,-0.7488005714285714,3.043170304304317e-10,0.026156249999999978,-0.6726443211242543,2.6726443211242543,1.3273556788757457
54,0.0062,9999999999,0.0525,-0.7532291428571428,2.994963639156639e-10,-0.003632812499999969,-0.7068619550576464,2.7068619550576463,1.2931380449423537
55,0.0062,9999999999,0.0525,-0.7426005714285714,2.947437202580458e-10,0.00871874999999997,-0.6838818211338277,2.6838818211338276,1.3161181788661724
56,0.0062,9999999999,0.0525,-0.7364005714285714,2.9003075660043167e-10,0.0050859375,-0.6813146336385406,2.6813146336385407,1.3186853663614593
57,0.0062,9999999999,0.0525,-0.7629719999999999,2.8514773579994335e-10,-0.021796874999999955,-0.7347688747148521,2.734768874714852,1.265231125285148
58,0.0062,9999999999,0.0525,-0.7718291428571428,2.8020802928516367e-10,-0.007265625000000011,-0.7290947675769347,2.729094767576935,1.2709052324230652
59,0.0062,9999999999,0.0525,-0.7700577142857142,2.7527965991324224e-10,0.0014531249999999586,-0.7186045890104346,2.7186045890104347,1.2813954109895653
60,0.0062,9999999999,0.0525,-0.7629719999999999,2.7039663911275397e-10,0.005812500000000052,-0.7071594997296032,2.7071594997296033,1.2928405002703967
61,0.0062,9999999999,0.0525,-0.7798005714285714,2.6540591545511205e-10,-0.013804687500000041,-0.7436052586631655,2.7436052586631656,1.2563947413368344
62,0.0062,9999999999,0.0525,-0.7815719999999999,2.6040385465461183e-10,-0.0014531249999999586,-0.733025124739596,2.733025124739596,1.266974875260404
63,0.0062,9999999999,0.0525,-0.7860005714285714,2.5537345099696593e-10,-0.003632812500000041,-0.7396333836731979,2.7396333836731976,1.2603666163268021
64,0.0062,9999999999,0.0525,-0.7798005714285714,2.50382727339324e-10,0.0050859375,-0.7247146336781887,2.7247146336781887,1.2752853663218113
65,0.0062,9999999999,0.0525,-0.7798005714285714,2.4539200368168204e-10,0.0,-0.7298005711831793,2.7298005711831794,1.2701994288168206
66,0.0062,9999999999,0.0525,-0.7948577142857143,2.403049143097448e-10,-0.01235156250000001,-0.7572092765454094,2.7572092765454093,1.2427907234545907
67,0.0062,9999999999,0.0525,-0.7851148571428571,2.35280179223528e-10,0.007992187499999989,-0.727122669407577,2.727122669407577,1.272877330592423
68,0.0062,9999999999,0.0525,-0.7806862857142857,2.3028378699445696e-10,0.003632812500000041,-0.7270534729840018,2.727053472984002,1.272946527015998
