step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0.0525,-0.8756702857142857,-5.604289829131858e-12,-0.71832328125,-1.5439935669698899,1.5439935669698899,-1.5439935669698899
1,0.0062,9999999999,0.0525,-0.8880702857142857,-1.1287939658271651e-11,-0.010171875,-0.8482421607255737,2.8482421607255737,1.1517578392744263
2,0.0062,9999999999,0.0525,-0.861498857142857,-1.6801532344537296e-11,0.021796875000000104,-0.7897019821596585,2.7897019821596585,1.2102980178403415
3,0.0062,9999999999,0.0525,-0.8561845714285714,-2.2281113602228114e-11,0.004359374999999876,-0.8018251964508526,2.8018251964508525,1.1981748035491475
4,0.0062,9999999999,0.0525,-0.8278417142857142,-2.7579300574186504e-11,0.02325000000000006,-0.7545917143132933,2.7545917143132934,1.2454082856867066
5,0.0062,9999999999,0.0525,-0.8632702857142857,-3.310423040331042e-11,-0.029062500000000043,-0.8423327857473898,2.8423327857473897,1.1576672142526103
6,0.0062,9999999999,0.0525,-0.861498857142857,-3.861782308957607e-11,0.0014531250000001032,-0.8100457321814747,2.8100457321814747,1.1899542678185253
7,0.0062,9999999999,0.0525,-0.8384702857142857,-4.3984032918684115e-11,0.018890624999999894,-0.7695796607582698,2.7695796607582697,1.2304203392417303
8,0.0062,9999999999,0.0525,-0.8402417142857141,-4.936157989065044e-11,-0.0014531249999999586,-0.7916948393350757,2.791694839335076,1.2083051606649242
9,0.0062,9999999999,0.0525,-0.7879845714285714,-5.44046811482976e-11,0.04286718750000001,-0.6951173839829761,2.695117383982976,1.304882616017024
10,0.0062,9999999999,0.0525,-0.799498857142857,-5.952147383452357e-11,-0.009445312499999947,-0.7589441697023783,2.7589441697023784,1.2410558302976216
11,0.0062,9999999999,0.0525,-0.7888702857142856,-6.457024366359986e-11,0.008718749999999897,-0.7301515357788559,2.730151535778856,1.269848464221144
12,0.0062,9999999999,0.0525,-0.7791274285714286,-6.955665920695566e-11,0.007992187499999989,-0.7211352411409853,2.7211352411409853,1.2788647588590147
13,0.0062,9999999999,0.0525,-0.7507845714285714,-7.436168046457901e-11,0.02325000000000006,-0.6775345715029328,2.6775345715029326,1.3224654284970672
14,0.0062,9999999999,0.0525,-0.7525559999999999,-7.917803886506066e-11,-0.001453125000000031,-0.7040091250791779,2.704009125079178,1.2959908749208222
15,0.0062,9999999999,0.0525,-0.7295274285714286,-8.38470144083847e-11,0.01889062499999997,-0.6606368036552757,2.660636803655276,1.3393631963447243
16,0.0062,9999999999,0.0525,-0.6923274285714286,-8.827790995168494e-11,0.030515624999999998,-0.6118118036597064,2.611811803659706,1.3881881963402936
17,0.0062,9999999999,0.0525,-0.678156,-9.261810835211895e-11,0.01162500000000003,-0.6165310000926181,2.616531000092618,1.383468999907382
18,0.0062,9999999999,0.0525,-0.6675274285714285,-9.689028389540333e-11,0.00871874999999997,-0.6088086786683188,2.6088086786683187,1.3911913213316813
19,0.0062,9999999999,0.0525,-0.6170417142857142,-1.008393508672268e-10,0.04141406250000005,-0.5256276518865535,2.5256276518865537,1.4743723481134465
20,0.0062,9999999999,0.0525,-0.6710702857142857,-1.0513420069622772e-10,-0.04432031250000004,-0.6653905983194199,2.66539059831942,1.33460940168058
21,0.0062,9999999999,0.0525,-0.6267845714285714,-1.0914562195377172e-10,0.03632812500000005,-0.5404564465377169,2.540456446537717,1.4595435534622831
22,0.0062,9999999999,0.0525,-0.6161559999999999,-1.1308902035416606e-10,0.00871874999999997,-0.5574372501130889,2.5574372501130886,1.4425627498869111
23,0.0062,9999999999,0.0525,-0.6134988571428571,-1.1701541304027298e-10,0.00217968750000001,-0.5613191697598725,2.5613191697598725,1.4386808302401275
24,0.0062,9999999999,0.0525,-0.5293559999999999,-1.2040329144061178e-10,0.06902343749999999,-0.4103325626204032,2.410332562620403,1.589667437379597
25,0.0062,9999999999,0.0525,-0.5736417142857142,-1.2407459841240746e-10,-0.036328124999999975,-0.5599698394097887,2.5599698394097885,1.4400301605902113
26,0.0062,9999999999,0.0525,-0.5506131428571428,-1.2759852252704556e-10,0.01889062499999997,-0.48172251798474136,2.4817225179847413,1.5182774820152587
27,0.0062,9999999999,0.0525,-0.5514988571428571,-1.311281152131128e-10,-0.0007265624999999793,-0.5022254197739852,2.502225419773985,1.497774580226015
28,0.0062,9999999999,0.0525,-0.4832988571428571,-1.342212278991364e-10,0.0559453125,-0.37735354477707833,2.3773535447770784,1.6226464552229216
29,0.0062,9999999999,0.0525,-0.4850702857142857,-1.373256777280183e-10,-0.001453125000000031,-0.4365234108516114,2.4365234108516116,1.5634765891483886
30,0.0062,9999999999,0.0525,-0.47621314285714283,-1.4037344184260876e-10,0.007265625000000011,-0.4189475179975163,2.418947517997516,1.5810524820024838
