step,x_center,y_center,width,height,area,label,time
0,104.0,113.5,56,13,277.0,Green,0.0549013614654541
0,94.5,50.0,65,44,2573.0,Red,0.0549013614654541
1,102.0,112.5,56,15,305.0,Green,0.0326995849609375
1,94.5,50.0,65,44,2571.5,Red,0.0326995849609375
2,102.0,112.5,56,15,305.0,Green,0.03569626808166504
2,94.5,50.0,65,44,2571.5,Red,0.03569626808166504
3,104.5,113.0,55,14,272.0,Green,0.03350353240966797
3,94.5,50.5,65,43,2558.5,Red,0.03350353240966797
4,104.5,113.0,55,14,272.0,Green,0.032025814056396484
4,94.5,50.5,65,43,2558.5,Red,0.032025814056396484
5,103.0,113.5,54,13,268.5,Green,0.0326385498046875
5,94.5,50.0,65,44,2567.5,Red,0.0326385498046875
6,103.0,113.5,54,13,268.5,Green,0.031958580017089844
6,94.5,50.0,65,44,2567.5,Red,0.031958580017089844
7,107.0,114.5,48,11,224.5,Green,0.032457590103149414
7,94.0,50.0,64,44,2560.5,Red,0.032457590103149414
8,107.0,114.5,48,11,224.5,Green,0.03165698051452637
8,94.0,50.0,64,44,2560.5,Red,0.03165698051452637
9,119.5,113.5,47,13,208.0,Green,0.032469749450683594
9,105.0,50.5,64,45,2465.5,Red,0.032469749450683594
10,119.5,113.5,47,13,208.0,Green,0.03180360794067383
10,105.0,50.5,64,45,2465.5,Red,0.03180360794067383
11,131.5,112.0,57,16,259.0,Green,0.036904335021972656
11,100.0,32.5,60,9,415.5,Green,0.036904335021972656
11,119.5,56.0,65,34,1971.0,Red,0.036904335021972656
12,131.5,112.0,57,16,259.0,Green,0.03215909004211426
12,100.0,32.5,60,9,415.5,Green,0.03215909004211426
12,119.5,56.0,65,34,1971.0,Red,0.03215909004211426
13,13.0,111.0,26,18,252.0,Blue,0.03223919868469238
13,142.5,51.5,35,47,1416.5,Red,0.03223919868469238
14,13.0,111.0,26,18,252.0,Blue,0.031610727310180664
14,142.5,51.5,35,47,1416.5,Red,0.031610727310180664
15,156.5,55.5,7,33,171.0,Red,0.03214311599731445
15,11.5,13.0,23,26,380.5,Black,0.03214311599731445
16,156.5,55.5,7,33,171.0,Red,0.0311739444732666
16,11.5,13.0,23,26,380.5,Black,0.0311739444732666
17,34.5,11.5,29,15,277.0,Red,0.03205990791320801
17,23.0,7.5,46,15,193.0,Black,0.03205990791320801
18,34.5,11.5,29,15,277.0,Red,0.03261446952819824
18,23.0,7.5,46,15,193.0,Black,0.03261446952819824
19,48.5,13.0,45,26,720.0,Red,0.03173255920410156
20,48.5,13.0,45,26,720.0,Red,0.0323030948638916
21,81.5,12.5,47,25,756.5,Red,0.03191089630126953
22,81.5,12.5,47,25,756.5,Red,0.031778812408447266
23,91.0,12.5,48,25,773.0,Red,0.031957149505615234
24,91.0,12.5,48,25,773.0,Red,0.03191351890563965
25,114.0,10.5,48,21,678.0,Red,0.03212857246398926
26,114.0,10.5,48,21,678.0,Red,0.03152751922607422
27,135.0,9.5,42,19,509.0,Red,0.031609535217285156
27,148.0,11.5,24,23,111.5,Black,0.031609535217285156
28,135.0,9.5,42,19,509.0,Red,0.03209400177001953
28,148.0,11.5,24,23,111.5,Black,0.03209400177001953
35,19.0,44.5,18,11,104.0,Red,0.03180050849914551
36,19.0,44.5,18,11,104.0,Red,0.03171992301940918
37,34.5,44.5,17,11,116.5,Red,0.03215360641479492
38,34.5,44.5,17,11,116.5,Red,0.032094478607177734
57,16.5,53.5,33,37,702.5,Blue,0.031354665756225586
58,16.5,53.5,33,37,702.5,Blue,0.031679391860961914
59,39.0,56.5,42,23,397.0,Blue,0.03157997131347656
60,39.0,56.5,42,23,397.0,Blue,0.032056570053100586
61,9.0,43.5,18,15,198.5,Black,0.03143644332885742
62,9.0,43.5,18,15,198.5,Black,0.03341984748840332
63,16.0,44.0,12,14,106.5,Black,0.03228878974914551
64,16.0,44.0,12,14,106.5,Black,0.03166675567626953
65,144.5,52.5,13,37,174.5,Blue,0.03128623962402344
66,144.5,52.5,13,37,174.5,Blue,0.03182840347290039
69,5.5,45.0,11,36,302.0,Blue,0.03136897087097168
70,5.5,45.0,11,36,302.0,Blue,0.031511545181274414
71,12.0,46.0,24,40,732.0,Blue,0.031194686889648438
72,12.0,46.0,24,40,732.0,Blue,0.03148078918457031
73,24.5,45.5,49,41,1478.5,Blue,0.031244993209838867
74,24.5,45.5,49,41,1478.5,Blue,0.03172016143798828
75,61.0,44.0,50,34,1187.5,Blue,0.031241178512573242
76,61.0,44.0,50,34,1187.5,Blue,0.03214859962463379
77,104.0,45.0,58,32,1425.0,Blue,0.03126120567321777
78,104.0,45.0,58,32,1425.0,Blue,0.03207731246948242
79,117.0,44.5,60,33,1645.0,Blue,0.031716346740722656
80,117.0,44.5,60,33,1645.0,Blue,0.032408714294433594
81,151.0,43.5,18,37,553.5,Blue,0.03147411346435547
81,10.0,48.0,20,30,475.5,Green,0.03147411346435547
81,45.5,29.0,31,10,162.0,Black,0.03147411346435547
81,13.0,16.5,26,33,564.0,Black,0.03147411346435547
82,151.0,43.5,18,37,553.5,Blue,0.03189897537231445
82,10.0,48.0,20,30,475.5,Green,0.03189897537231445
82,45.5,29.0,31,10,162.0,Black,0.03189897537231445
82,13.0,16.5,26,33,564.0,Black,0.03189897537231445
83,28.0,49.5,32,31,757.0,Green,0.03176164627075195
83,9.0,50.0,8,28,115.5,Red,0.03176164627075195
83,8.0,15.5,16,31,222.5,Red,0.03176164627075195
83,28.0,16.5,32,33,769.0,Black,0.03176164627075195
84,28.0,49.5,32,31,757.0,Green,0.032269954681396484
84,9.0,50.0,8,28,115.5,Red,0.032269954681396484
84,8.0,15.5,16,31,222.5,Red,0.032269954681396484
84,28.0,16.5,32,33,769.0,Black,0.032269954681396484
85,22.5,48.0,45,40,1325.0,Blue,0.032499074935913086
85,66.0,48.5,28,29,544.5,Green,0.032499074935913086
85,34.0,22.5,34,45,360.5,Red,0.032499074935913086
85,103.0,28.5,28,7,107.5,Black,0.032499074935913086
85,62.0,16.5,30,33,546.0,Black,0.032499074935913086
86,22.5,48.0,45,40,1325.0,Blue,0.03292346000671387
86,66.0,48.5,28,29,544.5,Green,0.03292346000671387
86,34.0,22.5,34,45,360.5,Red,0.03292346000671387
86,103.0,28.5,28,7,107.5,Black,0.03292346000671387
86,62.0,16.5,30,33,546.0,Black,0.03292346000671387
87,29.5,54.0,59,54,2508.5,Blue,0.032901763916015625
87,79.0,48.5,28,29,525.0,Green,0.032901763916015625
87,145.0,18.0,24,10,106.0,Green,0.032901763916015625
87,57.5,16.0,25,32,147.0,Red,0.032901763916015625
87,114.5,28.0,29,8,140.0,Black,0.032901763916015625
